epoch,train_loss,val_AUPRC,val_AUROC
1,0.1614264138196694,0.7760467176149825,0.7835503565576574
2,0.20017445138219386,0.5059726238826263,0.44868290642064124
3,0.17610274858194638,0.5179066631794228,0.48894061392454213
4,0.17604529763794108,0.5146590141784444,0.48427547330952053
5,0.17607535519309714,0.5143925615011861,0.48392542248847625
6,0.17612439284731582,0.5316159698111234,0.5095662876030351
7,0.17615740009547803,0.5155747804492679,0.4856693184460804
8,0.17618804332196045,0.5330904513190176,0.5114865623011473
9,0.17621562621052858,0.5146759001933279,0.48436699544890777
10,0.1762381219845501,0.5169995108151402,0.4878289231960572
11,0.17625563806453895,0.5160164351212737,0.4866039695022069
